City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ust-nera,64.5667,143.2,-39.94,98,100,2.67,RU,1706461642
83,ajdabiya,30.7554,20.2263,15.67,64,3,7.13,LY,1706461642
84,puerto baquerizo moreno,-0.9,-89.6,29.55,74,75,6.17,EC,1706461642
85,surgut,61.25,73.4167,-18.9,92,40,2.0,RU,1706461643
86,ingeniero guillermo n. juarez,-23.9,-61.85,37.8,19,8,0.94,AR,1706461643
87,petrovsk,52.3064,45.3917,-13.73,98,83,1.77,RU,1706461643
88,antalaha,-14.9003,50.2788,25.68,84,13,1.17,MG,1706461456
89,saipan,15.1355,145.701,24.39,69,75,4.63,MP,1706461644
90,albany,42.6001,-73.9662,1.9,84,100,1.26,US,1706461644
91,eunice,30.4944,-92.4176,8.32,67,0,4.49,US,1706461645
92,kiama,-34.6833,150.8667,20.88,86,71,2.41,AU,1706461645
93,kerema,-7.9631,145.7785,27.04,81,100,1.84,PG,1706461645
94,kodiak,57.79,-152.4072,-10.27,67,0,7.2,US,1706461646
95,invercargill,-46.4,168.35,11.12,96,69,2.24,NZ,1706461646
96,dul'durga,50.6761,113.5931,-23.2,86,4,0.67,RU,1706461646
97,fauske,67.2588,15.3918,6.02,88,100,3.5,NO,1706461646
98,codrington,-38.2667,141.9667,13.99,93,1,2.44,AU,1706461646
99,new norfolk,-42.7826,147.0587,17.72,97,34,1.72,AU,1706461647
100,ribeira grande,38.5167,-28.7,15.22,51,20,3.6,PT,1706461647
101,mirny,62.5353,113.9611,-38.11,100,52,0.2,RU,1706461647
102,rouissat,31.9243,5.3502,20.52,20,3,2.76,DZ,1706461647
103,lihue,21.9789,-159.3672,22.77,78,0,6.69,US,1706461648
104,priozersk,61.0393,30.1291,0.56,86,100,4.83,RU,1706461648
105,port alfred,-33.5906,26.891,23.73,85,83,1.73,ZA,1706461648
106,olonkinbyen,70.9221,-8.7187,-4.6,76,83,6.33,SJ,1706461649
107,semenivka,52.1783,32.5818,-7.41,96,99,2.73,UA,1706461649
108,bukama,-9.2,25.85,22.31,96,100,1.08,CD,1706461649
109,namsos,64.4662,11.4957,6.03,81,0,3.09,NO,1706461649
110,port elizabeth,-33.918,25.5701,24.06,59,97,5.36,ZA,1706461649
111,port lincoln,-34.7333,135.8667,18.33,74,0,0.96,AU,1706461372
112,dampit,-8.2116,112.7493,22.37,97,100,0.57,ID,1706461650
113,longyearbyen,78.2186,15.6401,-8.09,73,20,3.09,SJ,1706461394
114,lebu,-37.6167,-73.65,18.08,68,88,6.43,CL,1706461650
